epoc (ms),timestamp (-0400),elapsed (s),w (number),x (number),y (number),z (number)
1662322821844,2022-09-04T16.20.21.844,0.000,0.999,0.028,0.029,0.000
1662322821854,2022-09-04T16.20.21.854,0.010,0.999,0.026,0.027,0.001
1662322821864,2022-09-04T16.20.21.864,0.020,0.999,0.023,0.025,0.002
1662322821874,2022-09-04T16.20.21.874,0.030,1.000,0.021,0.022,0.003
1662322821884,2022-09-04T16.20.21.884,0.040,1.000,0.019,0.020,0.003
1662322821894,2022-09-04T16.20.21.894,0.050,1.000,0.017,0.018,0.003
1662322821904,2022-09-04T16.20.21.904,0.060,1.000,0.015,0.015,0.002
1662322821914,2022-09-04T16.20.21.914,0.070,1.000,0.013,0.013,0.001
1662322821924,2022-09-04T16.20.21.924,0.080,1.000,0.013,0.011,0.001
1662322821934,2022-09-04T16.20.21.934,0.090,1.000,0.013,0.009,-0.000
1662322821944,2022-09-04T16.20.21.944,0.100,1.000,0.012,0.008,-0.001
1662322821954,2022-09-04T16.20.21.954,0.110,1.000,0.010,0.008,-0.003
1662322821964,2022-09-04T16.20.21.964,0.120,1.000,0.006,0.009,-0.004
1662322821974,2022-09-04T16.20.21.974,0.130,1.000,0.003,0.010,-0.005
1662322821984,2022-09-04T16.20.21.984,0.140,1.000,-0.001,0.011,-0.007
1662322821994,2022-09-04T16.20.21.994,0.150,1.000,-0.004,0.011,-0.008
1662322822004,2022-09-04T16.20.22.004,0.160,1.000,-0.007,0.011,-0.008
1662322822014,2022-09-04T16.20.22.014,0.170,1.000,-0.008,0.010,-0.009
1662322822024,2022-09-04T16.20.22.024,0.180,1.000,-0.009,0.010,-0.009
1662322822034,2022-09-04T16.20.22.034,0.190,1.000,-0.009,0.009,-0.009
1662322822044,2022-09-04T16.20.22.044,0.200,1.000,-0.010,0.009,-0.009
1662322822054,2022-09-04T16.20.22.054,0.210,1.000,-0.011,0.009,-0.008
1662322822064,2022-09-04T16.20.22.064,0.220,1.000,-0.013,0.010,-0.007
1662322822074,2022-09-04T16.20.22.074,0.230,1.000,-0.015,0.010,-0.007
1662322822084,2022-09-04T16.20.22.084,0.240,1.000,-0.017,0.011,-0.006
1662322822094,2022-09-04T16.20.22.094,0.250,1.000,-0.019,0.012,-0.005
1662322822104,2022-09-04T16.20.22.104,0.260,1.000,-0.021,0.013,-0.004
1662322822114,2022-09-04T16.20.22.114,0.270,1.000,-0.023,0.013,-0.004
1662322822124,2022-09-04T16.20.22.124,0.280,1.000,-0.027,0.015,-0.003
1662322822134,2022-09-04T16.20.22.134,0.290,0.999,-0.031,0.017,-0.002
1662322822144,2022-09-04T16.20.22.144,0.300,0.999,-0.035,0.018,-0.002
1662322822154,2022-09-04T16.20.22.154,0.310,0.999,-0.038,0.020,-0.001
1662322822164,2022-09-04T16.20.22.164,0.320,0.999,-0.041,0.021,0.000
1662322822174,2022-09-04T16.20.22.174,0.330,0.999,-0.043,0.022,0.001
1662322822184,2022-09-04T16.20.22.184,0.340,0.999,-0.046,0.024,0.002
1662322822194,2022-09-04T16.20.22.194,0.350,0.999,-0.048,0.024,0.003
1662322822204,2022-09-04T16.20.22.204,0.360,0.998,-0.049,0.025,0.004
1662322822214,2022-09-04T16.20.22.214,0.370,0.998,-0.051,0.025,0.005
1662322822224,2022-09-04T16.20.22.224,0.380,0.998,-0.052,0.025,0.006
1662322822234,2022-09-04T16.20.22.234,0.390,0.998,-0.053,0.025,0.006
1662322822244,2022-09-04T16.20.22.244,0.400,0.998,-0.056,0.025,0.007
1662322822254,2022-09-04T16.20.22.254,0.410,0.998,-0.058,0.025,0.008
1662322822264,2022-09-04T16.20.22.264,0.420,0.998,-0.060,0.026,0.009
1662322822274,2022-09-04T16.20.22.274,0.430,0.998,-0.062,0.026,0.010
1662322822284,2022-09-04T16.20.22.284,0.440,0.998,-0.064,0.027,0.010
1662322822294,2022-09-04T16.20.22.294,0.450,0.997,-0.065,0.027,0.011
1662322822304,2022-09-04T16.20.22.304,0.460,0.997,-0.066,0.027,0.011
1662322822314,2022-09-04T16.20.22.314,0.470,0.997,-0.066,0.027,0.011
1662322822324,2022-09-04T16.20.22.324,0.480,0.997,-0.067,0.027,0.011
1662322822334,2022-09-04T16.20.22.334,0.490,0.997,-0.067,0.026,0.010
1662322822344,2022-09-04T16.20.22.344,0.500,0.997,-0.066,0.026,0.010
1662322822354,2022-09-04T16.20.22.354,0.510,0.998,-0.065,0.025,0.010
1662322822364,2022-09-04T16.20.22.364,0.520,0.998,-0.064,0.024,0.010
1662322822374,2022-09-04T16.20.22.374,0.530,0.998,-0.064,0.024,0.010
1662322822384,2022-09-04T16.20.22.384,0.540,0.998,-0.064,0.024,0.010
1662322822394,2022-09-04T16.20.22.394,0.550,0.998,-0.065,0.024,0.009
1662322822404,2022-09-04T16.20.22.404,0.560,0.998,-0.065,0.024,0.009
1662322822414,2022-09-04T16.20.22.414,0.570,0.998,-0.065,0.024,0.009
1662322822424,2022-09-04T16.20.22.424,0.580,0.998,-0.065,0.023,0.009
1662322822434,2022-09-04T16.20.22.434,0.590,0.998,-0.064,0.022,0.009
1662322822444,2022-09-04T16.20.22.444,0.600,0.998,-0.063,0.021,0.009
1662322822454,2022-09-04T16.20.22.454,0.610,0.998,-0.062,0.020,0.008
1662322822464,2022-09-04T16.20.22.464,0.620,0.998,-0.061,0.019,0.008
1662322822474,2022-09-04T16.20.22.474,0.630,0.998,-0.060,0.019,0.008
1662322822484,2022-09-04T16.20.22.484,0.640,0.998,-0.059,0.018,0.008
1662322822494,2022-09-04T16.20.22.494,0.650,0.998,-0.058,0.018,0.009
1662322822504,2022-09-04T16.20.22.504,0.660,0.998,-0.057,0.018,0.009
1662322822514,2022-09-04T16.20.22.514,0.670,0.998,-0.057,0.017,0.009
1662322822524,2022-09-04T16.20.22.524,0.680,0.998,-0.057,0.017,0.009
1662322822534,2022-09-04T16.20.22.534,0.690,0.998,-0.057,0.017,0.009
1662322822544,2022-09-04T16.20.22.544,0.700,0.998,-0.057,0.017,0.010
1662322822554,2022-09-04T16.20.22.554,0.710,0.998,-0.057,0.017,0.010
1662322822564,2022-09-04T16.20.22.564,0.720,0.998,-0.056,0.016,0.010
1662322822574,2022-09-04T16.20.22.574,0.730,0.998,-0.056,0.016,0.010
1662322822584,2022-09-04T16.20.22.584,0.740,0.998,-0.055,0.015,0.010
1662322822594,2022-09-04T16.20.22.594,0.750,0.998,-0.054,0.015,0.010
1662322822604,2022-09-04T16.20.22.604,0.760,0.998,-0.054,0.015,0.010
1662322822614,2022-09-04T16.20.22.614,0.770,0.998,-0.054,0.015,0.010
1662322822624,2022-09-04T16.20.22.624,0.780,0.998,-0.054,0.015,0.010
1662322822634,2022-09-04T16.20.22.634,0.790,0.998,-0.055,0.015,0.010
1662322822644,2022-09-04T16.20.22.644,0.800,0.998,-0.055,0.015,0.010
1662322822654,2022-09-04T16.20.22.654,0.810,0.998,-0.056,0.015,0.011
1662322822664,2022-09-04T16.20.22.664,0.820,0.998,-0.057,0.015,0.011
1662322822674,2022-09-04T16.20.22.674,0.830,0.998,-0.058,0.015,0.011
1662322822684,2022-09-04T16.20.22.684,0.840,0.998,-0.058,0.015,0.011
1662322822694,2022-09-04T16.20.22.694,0.850,0.998,-0.058,0.014,0.011
1662322822704,2022-09-04T16.20.22.704,0.860,0.998,-0.058,0.014,0.011
1662322822714,2022-09-04T16.20.22.714,0.870,0.998,-0.059,0.014,0.011
1662322822724,2022-09-04T16.20.22.724,0.880,0.998,-0.059,0.014,0.011
1662322822734,2022-09-04T16.20.22.734,0.890,0.998,-0.060,0.014,0.011
1662322822744,2022-09-04T16.20.22.744,0.900,0.998,-0.060,0.014,0.011
1662322822754,2022-09-04T16.20.22.754,0.910,0.998,-0.061,0.014,0.012
1662322822764,2022-09-04T16.20.22.764,0.920,0.998,-0.061,0.014,0.012
1662322822774,2022-09-04T16.20.22.774,0.930,0.998,-0.061,0.014,0.012
1662322822784,2022-09-04T16.20.22.784,0.940,0.998,-0.061,0.014,0.012
1662322822794,2022-09-04T16.20.22.794,0.950,0.998,-0.061,0.014,0.012
1662322822804,2022-09-04T16.20.22.804,0.960,0.998,-0.062,0.014,0.012
1662322822814,2022-09-04T16.20.22.814,0.970,0.998,-0.062,0.014,0.012
1662322822824,2022-09-04T16.20.22.824,0.980,0.998,-0.063,0.014,0.012
1662322822834,2022-09-04T16.20.22.834,0.990,0.998,-0.064,0.015,0.012
1662322822844,2022-09-04T16.20.22.844,1.000,0.998,-0.064,0.015,0.012
1662322822854,2022-09-04T16.20.22.854,1.010,0.998,-0.065,0.015,0.012
1662322822864,2022-09-04T16.20.22.864,1.020,0.998,-0.065,0.015,0.012
1662322822874,2022-09-04T16.20.22.874,1.030,0.998,-0.066,0.016,0.012
1662322822884,2022-09-04T16.20.22.884,1.040,0.998,-0.066,0.016,0.012
1662322822894,2022-09-04T16.20.22.894,1.050,0.998,-0.067,0.016,0.012
1662322822904,2022-09-04T16.20.22.904,1.060,0.998,-0.067,0.016,0.012
1662322822914,2022-09-04T16.20.22.914,1.070,0.998,-0.067,0.016,0.012
1662322822924,2022-09-04T16.20.22.924,1.080,0.998,-0.067,0.016,0.012
1662322822934,2022-09-04T16.20.22.934,1.090,0.998,-0.067,0.015,0.012
1662322822944,2022-09-04T16.20.22.944,1.100,0.998,-0.068,0.015,0.012
1662322822954,2022-09-04T16.20.22.954,1.110,0.997,-0.068,0.015,0.012
1662322822964,2022-09-04T16.20.22.964,1.120,0.997,-0.069,0.015,0.012
1662322822974,2022-09-04T16.20.22.974,1.130,0.997,-0.069,0.015,0.012
1662322822984,2022-09-04T16.20.22.984,1.140,0.997,-0.069,0.015,0.012
1662322822994,2022-09-04T16.20.22.994,1.150,0.997,-0.069,0.015,0.012
1662322823004,2022-09-04T16.20.23.004,1.160,0.997,-0.069,0.015,0.012
1662322823014,2022-09-04T16.20.23.014,1.170,0.997,-0.070,0.015,0.012
1662322823024,2022-09-04T16.20.23.024,1.180,0.997,-0.070,0.015,0.013
1662322823034,2022-09-04T16.20.23.034,1.190,0.997,-0.072,0.015,0.013
1662322823044,2022-09-04T16.20.23.044,1.200,0.997,-0.073,0.015,0.013
1662322823054,2022-09-04T16.20.23.054,1.210,0.997,-0.076,0.015,0.014
1662322823064,2022-09-04T16.20.23.064,1.220,0.997,-0.080,0.016,0.014
1662322823074,2022-09-04T16.20.23.074,1.230,0.996,-0.087,0.017,0.015
1662322823084,2022-09-04T16.20.23.084,1.240,0.995,-0.098,0.019,0.016
1662322823094,2022-09-04T16.20.23.094,1.250,0.993,-0.113,0.022,0.018
1662322823104,2022-09-04T16.20.23.104,1.260,0.991,-0.133,0.026,0.021
1662322823114,2022-09-04T16.20.23.114,1.270,0.988,-0.152,0.029,0.025
1662322823124,2022-09-04T16.20.23.124,1.280,0.985,-0.170,0.031,0.028
1662322823134,2022-09-04T16.20.23.134,1.290,0.981,-0.186,0.033,0.032
1662322823144,2022-09-04T16.20.23.144,1.300,0.978,-0.202,0.034,0.034
1662322823154,2022-09-04T16.20.23.154,1.310,0.974,-0.220,0.037,0.037
1662322823164,2022-09-04T16.20.23.164,1.320,0.968,-0.244,0.040,0.041
1662322823174,2022-09-04T16.20.23.174,1.330,0.959,-0.276,0.040,0.048
1662322823184,2022-09-04T16.20.23.184,1.340,0.946,-0.317,0.032,0.058
1662322823194,2022-09-04T16.20.23.194,1.350,0.930,-0.361,0.032,0.068
1662322823204,2022-09-04T16.20.23.204,1.360,0.909,-0.409,0.026,0.080
1662322823214,2022-09-04T16.20.23.214,1.370,0.884,-0.460,0.015,0.088
1662322823224,2022-09-04T16.20.23.224,1.380,0.855,-0.510,-0.008,0.097
1662322823234,2022-09-04T16.20.23.234,1.390,0.825,-0.554,-0.038,0.103
1662322823244,2022-09-04T16.20.23.244,1.400,0.795,-0.594,-0.066,0.104
1662322823254,2022-09-04T16.20.23.254,1.410,0.769,-0.626,-0.086,0.101
1662322823264,2022-09-04T16.20.23.264,1.420,0.748,-0.649,-0.099,0.097
1662322823274,2022-09-04T16.20.23.274,1.430,0.732,-0.667,-0.104,0.092
1662322823284,2022-09-04T16.20.23.284,1.440,0.719,-0.681,-0.107,0.088
1662322823294,2022-09-04T16.20.23.294,1.450,0.709,-0.691,-0.109,0.084
1662322823304,2022-09-04T16.20.23.304,1.460,0.702,-0.700,-0.109,0.078
1662322823314,2022-09-04T16.20.23.314,1.470,0.696,-0.706,-0.109,0.072
1662322823324,2022-09-04T16.20.23.324,1.480,0.692,-0.711,-0.109,0.066
1662322823334,2022-09-04T16.20.23.334,1.490,0.689,-0.714,-0.107,0.062
1662322823344,2022-09-04T16.20.23.344,1.500,0.689,-0.715,-0.106,0.058
1662322823354,2022-09-04T16.20.23.354,1.510,0.688,-0.716,-0.104,0.055
1662322823364,2022-09-04T16.20.23.364,1.520,0.687,-0.717,-0.101,0.056
1662322823374,2022-09-04T16.20.23.374,1.530,0.687,-0.718,-0.099,0.058
1662322823384,2022-09-04T16.20.23.384,1.540,0.687,-0.718,-0.095,0.060
1662322823394,2022-09-04T16.20.23.394,1.550,0.687,-0.718,-0.093,0.062
1662322823404,2022-09-04T16.20.23.404,1.560,0.687,-0.718,-0.091,0.064
1662322823414,2022-09-04T16.20.23.414,1.570,0.687,-0.718,-0.089,0.066
1662322823424,2022-09-04T16.20.23.424,1.580,0.687,-0.718,-0.087,0.067
1662322823434,2022-09-04T16.20.23.434,1.590,0.687,-0.718,-0.084,0.068
1662322823444,2022-09-04T16.20.23.444,1.600,0.688,-0.718,-0.082,0.068
1662322823454,2022-09-04T16.20.23.454,1.610,0.689,-0.717,-0.081,0.067
1662322823464,2022-09-04T16.20.23.464,1.620,0.689,-0.717,-0.079,0.065
1662322823474,2022-09-04T16.20.23.474,1.630,0.689,-0.718,-0.078,0.062
1662322823484,2022-09-04T16.20.23.484,1.640,0.689,-0.718,-0.076,0.059
1662322823494,2022-09-04T16.20.23.494,1.650,0.690,-0.718,-0.075,0.055
1662322823504,2022-09-04T16.20.23.504,1.660,0.690,-0.718,-0.073,0.052
1662322823514,2022-09-04T16.20.23.514,1.670,0.690,-0.719,-0.071,0.050
1662322823524,2022-09-04T16.20.23.524,1.680,0.690,-0.719,-0.069,0.048
1662322823534,2022-09-04T16.20.23.534,1.690,0.690,-0.719,-0.067,0.046
1662322823544,2022-09-04T16.20.23.544,1.700,0.691,-0.719,-0.066,0.045
1662322823554,2022-09-04T16.20.23.554,1.710,0.690,-0.719,-0.065,0.046
1662322823564,2022-09-04T16.20.23.564,1.720,0.690,-0.719,-0.065,0.047
1662322823574,2022-09-04T16.20.23.574,1.730,0.690,-0.720,-0.064,0.048
1662322823584,2022-09-04T16.20.23.584,1.740,0.700,-0.709,-0.073,0.039
1662322823594,2022-09-04T16.20.23.594,1.750,0.701,-0.709,-0.072,0.039
1662322823604,2022-09-04T16.20.23.604,1.760,0.701,-0.709,-0.071,0.039
1662322823614,2022-09-04T16.20.23.614,1.770,0.701,-0.709,-0.071,0.038
1662322823624,2022-09-04T16.20.23.624,1.780,0.702,-0.708,-0.070,0.038
1662322823634,2022-09-04T16.20.23.634,1.790,0.702,-0.707,-0.070,0.037
1662322823644,2022-09-04T16.20.23.644,1.800,0.703,-0.707,-0.069,0.036
1662322823654,2022-09-04T16.20.23.654,1.810,0.704,-0.706,-0.069,0.034
1662322823664,2022-09-04T16.20.23.664,1.820,0.705,-0.706,-0.069,0.033
1662322823674,2022-09-04T16.20.23.674,1.830,0.705,-0.705,-0.068,0.032
1662322823684,2022-09-04T16.20.23.684,1.840,0.704,-0.706,-0.068,0.032
1662322823694,2022-09-04T16.20.23.694,1.850,0.704,-0.706,-0.068,0.031
1662322823704,2022-09-04T16.20.23.704,1.860,0.705,-0.706,-0.068,0.031
1662322823714,2022-09-04T16.20.23.714,1.870,0.705,-0.706,-0.068,0.031
1662322823724,2022-09-04T16.20.23.724,1.880,0.705,-0.706,-0.068,0.031
1662322823734,2022-09-04T16.20.23.734,1.890,0.704,-0.706,-0.068,0.031
1662322823744,2022-09-04T16.20.23.744,1.900,0.704,-0.706,-0.068,0.031
1662322823754,2022-09-04T16.20.23.754,1.910,0.704,-0.706,-0.068,0.030
1662322823764,2022-09-04T16.20.23.764,1.920,0.704,-0.706,-0.068,0.030
1662322823774,2022-09-04T16.20.23.774,1.930,0.705,-0.706,-0.068,0.029
1662322823784,2022-09-04T16.20.23.784,1.940,0.705,-0.705,-0.068,0.028
1662322823794,2022-09-04T16.20.23.794,1.950,0.705,-0.705,-0.067,0.028
1662322823804,2022-09-04T16.20.23.804,1.960,0.705,-0.706,-0.067,0.028
1662322823814,2022-09-04T16.20.23.814,1.970,0.704,-0.706,-0.068,0.028
1662322823824,2022-09-04T16.20.23.824,1.980,0.704,-0.706,-0.068,0.028
1662322823834,2022-09-04T16.20.23.834,1.990,0.704,-0.707,-0.067,0.029
1662322823844,2022-09-04T16.20.23.844,2.000,0.703,-0.707,-0.067,0.029
1662322823854,2022-09-04T16.20.23.854,2.010,0.703,-0.707,-0.067,0.029
1662322823864,2022-09-04T16.20.23.864,2.020,0.703,-0.708,-0.067,0.030
1662322823874,2022-09-04T16.20.23.874,2.030,0.702,-0.708,-0.067,0.030
1662322823884,2022-09-04T16.20.23.884,2.040,0.702,-0.708,-0.067,0.030
1662322823894,2022-09-04T16.20.23.894,2.050,0.702,-0.708,-0.067,0.030
1662322823904,2022-09-04T16.20.23.904,2.060,0.703,-0.708,-0.067,0.029
1662322823914,2022-09-04T16.20.23.914,2.070,0.702,-0.708,-0.067,0.029
1662322823924,2022-09-04T16.20.23.924,2.080,0.702,-0.708,-0.067,0.029
1662322823934,2022-09-04T16.20.23.934,2.090,0.702,-0.708,-0.067,0.029
1662322823944,2022-09-04T16.20.23.944,2.100,0.702,-0.709,-0.067,0.030
1662322823954,2022-09-04T16.20.23.954,2.110,0.701,-0.709,-0.067,0.030
1662322823964,2022-09-04T16.20.23.964,2.120,0.701,-0.709,-0.067,0.030
1662322823974,2022-09-04T16.20.23.974,2.130,0.701,-0.709,-0.067,0.030
1662322823984,2022-09-04T16.20.23.984,2.140,0.701,-0.709,-0.067,0.030
1662322823994,2022-09-04T16.20.23.994,2.150,0.701,-0.709,-0.067,0.030
1662322824004,2022-09-04T16.20.24.004,2.160,0.701,-0.709,-0.067,0.030
1662322824014,2022-09-04T16.20.24.014,2.170,0.701,-0.709,-0.067,0.030
1662322824024,2022-09-04T16.20.24.024,2.180,0.701,-0.709,-0.067,0.030
1662322824034,2022-09-04T16.20.24.034,2.190,0.701,-0.709,-0.067,0.029
1662322824044,2022-09-04T16.20.24.044,2.200,0.702,-0.709,-0.067,0.028
1662322824054,2022-09-04T16.20.24.054,2.210,0.702,-0.709,-0.067,0.028
1662322824064,2022-09-04T16.20.24.064,2.220,0.702,-0.709,-0.067,0.028
1662322824074,2022-09-04T16.20.24.074,2.230,0.701,-0.709,-0.067,0.028
1662322824084,2022-09-04T16.20.24.084,2.240,0.701,-0.709,-0.067,0.028
1662322824094,2022-09-04T16.20.24.094,2.250,0.701,-0.710,-0.067,0.028
1662322824104,2022-09-04T16.20.24.104,2.260,0.700,-0.710,-0.066,0.028
1662322824114,2022-09-04T16.20.24.114,2.270,0.700,-0.711,-0.066,0.028
1662322824124,2022-09-04T16.20.24.124,2.280,0.700,-0.711,-0.066,0.028
1662322824134,2022-09-04T16.20.24.134,2.290,0.699,-0.711,-0.066,0.028
1662322824144,2022-09-04T16.20.24.144,2.300,0.699,-0.711,-0.066,0.028
1662322824154,2022-09-04T16.20.24.154,2.310,0.700,-0.711,-0.066,0.028
1662322824164,2022-09-04T16.20.24.164,2.320,0.700,-0.710,-0.066,0.027
1662322824174,2022-09-04T16.20.24.174,2.330,0.701,-0.710,-0.066,0.026
1662322824184,2022-09-04T16.20.24.184,2.340,0.701,-0.710,-0.066,0.026
1662322824194,2022-09-04T16.20.24.194,2.350,0.701,-0.710,-0.066,0.026
1662322824204,2022-09-04T16.20.24.204,2.360,0.701,-0.710,-0.066,0.025
1662322824214,2022-09-04T16.20.24.214,2.370,0.701,-0.709,-0.066,0.025
1662322824224,2022-09-04T16.20.24.224,2.380,0.701,-0.709,-0.066,0.025
1662322824234,2022-09-04T16.20.24.234,2.390,0.701,-0.709,-0.065,0.025
1662322824244,2022-09-04T16.20.24.244,2.400,0.701,-0.709,-0.065,0.025
1662322824254,2022-09-04T16.20.24.254,2.410,0.702,-0.709,-0.065,0.025
1662322824264,2022-09-04T16.20.24.264,2.420,0.702,-0.709,-0.065,0.025
1662322824274,2022-09-04T16.20.24.274,2.430,0.702,-0.709,-0.065,0.025
1662322824284,2022-09-04T16.20.24.284,2.440,0.702,-0.709,-0.065,0.025
1662322824294,2022-09-04T16.20.24.294,2.450,0.703,-0.708,-0.065,0.024
1662322824304,2022-09-04T16.20.24.304,2.460,0.703,-0.707,-0.065,0.024
1662322824314,2022-09-04T16.20.24.314,2.470,0.704,-0.706,-0.065,0.023
1662322824324,2022-09-04T16.20.24.324,2.480,0.705,-0.706,-0.065,0.023
1662322824334,2022-09-04T16.20.24.334,2.490,0.706,-0.705,-0.065,0.022
1662322824344,2022-09-04T16.20.24.344,2.500,0.707,-0.704,-0.065,0.021
1662322824354,2022-09-04T16.20.24.354,2.510,0.707,-0.704,-0.065,0.020
1662322824364,2022-09-04T16.20.24.364,2.520,0.707,-0.704,-0.065,0.019
1662322824374,2022-09-04T16.20.24.374,2.530,0.707,-0.704,-0.065,0.019
1662322824384,2022-09-04T16.20.24.384,2.540,0.706,-0.705,-0.064,0.019
1662322824394,2022-09-04T16.20.24.394,2.550,0.705,-0.706,-0.064,0.020
1662322824404,2022-09-04T16.20.24.404,2.560,0.704,-0.707,-0.065,0.020
1662322824414,2022-09-04T16.20.24.414,2.570,0.704,-0.707,-0.065,0.021
1662322824424,2022-09-04T16.20.24.424,2.580,0.704,-0.707,-0.065,0.021
1662322824434,2022-09-04T16.20.24.434,2.590,0.704,-0.707,-0.065,0.021
1662322824444,2022-09-04T16.20.24.444,2.600,0.704,-0.707,-0.065,0.021
1662322824454,2022-09-04T16.20.24.454,2.610,0.704,-0.707,-0.065,0.020
1662322824464,2022-09-04T16.20.24.464,2.620,0.705,-0.706,-0.065,0.019
1662322824474,2022-09-04T16.20.24.474,2.630,0.706,-0.705,-0.065,0.019
