epoc (ms),timestamp (-0400),elapsed (s),w (number),x (number),y (number),z (number)
1662322827164,2022-09-04T16.20.27.164,5.320,0.450,0.419,-0.455,0.645
1662322827174,2022-09-04T16.20.27.174,5.330,0.447,0.417,-0.458,0.645
1662322827184,2022-09-04T16.20.27.184,5.340,0.445,0.416,-0.461,0.645
1662322827194,2022-09-04T16.20.27.194,5.350,0.442,0.416,-0.465,0.645
1662322827204,2022-09-04T16.20.27.204,5.360,0.439,0.415,-0.469,0.644
1662322827214,2022-09-04T16.20.27.214,5.370,0.437,0.416,-0.473,0.643
1662322827224,2022-09-04T16.20.27.224,5.380,0.435,0.417,-0.475,0.642
1662322827234,2022-09-04T16.20.27.234,5.390,0.433,0.418,-0.477,0.641
1662322827244,2022-09-04T16.20.27.244,5.400,0.431,0.418,-0.479,0.640
1662322827254,2022-09-04T16.20.27.254,5.410,0.429,0.420,-0.482,0.639
1662322827264,2022-09-04T16.20.27.264,5.420,0.427,0.421,-0.484,0.638
1662322827274,2022-09-04T16.20.27.274,5.430,0.426,0.421,-0.485,0.637
1662322827284,2022-09-04T16.20.27.284,5.440,0.426,0.421,-0.486,0.636
1662322827294,2022-09-04T16.20.27.294,5.450,0.426,0.422,-0.488,0.635
1662322827304,2022-09-04T16.20.27.304,5.460,0.424,0.423,-0.491,0.633
1662322827314,2022-09-04T16.20.27.314,5.470,0.424,0.423,-0.493,0.631
1662322827324,2022-09-04T16.20.27.324,5.480,0.423,0.423,-0.494,0.630
1662322827334,2022-09-04T16.20.27.334,5.490,0.423,0.424,-0.495,0.629
1662322827344,2022-09-04T16.20.27.344,5.500,0.423,0.424,-0.496,0.629
1662322827354,2022-09-04T16.20.27.354,5.510,0.410,0.412,-0.508,0.635
1662322827364,2022-09-04T16.20.27.364,5.520,0.410,0.412,-0.509,0.635
1662322827374,2022-09-04T16.20.27.374,5.530,0.410,0.412,-0.508,0.635
1662322827384,2022-09-04T16.20.27.384,5.540,0.411,0.412,-0.507,0.636
1662322827394,2022-09-04T16.20.27.394,5.550,0.412,0.412,-0.505,0.637
1662322827404,2022-09-04T16.20.27.404,5.560,0.412,0.412,-0.504,0.637
1662322827414,2022-09-04T16.20.27.414,5.570,0.412,0.412,-0.504,0.637
1662322827424,2022-09-04T16.20.27.424,5.580,0.413,0.413,-0.504,0.637
1662322827434,2022-09-04T16.20.27.434,5.590,0.412,0.413,-0.505,0.636
1662322827444,2022-09-04T16.20.27.444,5.600,0.412,0.414,-0.505,0.635
1662322827454,2022-09-04T16.20.27.454,5.610,0.412,0.414,-0.506,0.634
1662322827464,2022-09-04T16.20.27.464,5.620,0.412,0.415,-0.506,0.634
1662322827474,2022-09-04T16.20.27.474,5.630,0.412,0.415,-0.507,0.633
1662322827484,2022-09-04T16.20.27.484,5.640,0.412,0.416,-0.508,0.632
1662322827494,2022-09-04T16.20.27.494,5.650,0.412,0.417,-0.508,0.631
1662322827504,2022-09-04T16.20.27.504,5.660,0.412,0.419,-0.508,0.630
1662322827514,2022-09-04T16.20.27.514,5.670,0.412,0.421,-0.506,0.630
1662322827524,2022-09-04T16.20.27.524,5.680,0.412,0.423,-0.504,0.631
1662322827534,2022-09-04T16.20.27.534,5.690,0.412,0.425,-0.502,0.631
1662322827544,2022-09-04T16.20.27.544,5.700,0.146,0.584,-0.306,0.738
1662322827554,2022-09-04T16.20.27.554,5.710,0.146,0.585,-0.305,0.737
1662322827564,2022-09-04T16.20.27.564,5.720,0.146,0.587,-0.305,0.736
1662322827574,2022-09-04T16.20.27.574,5.730,0.146,0.588,-0.305,0.735
1662322827584,2022-09-04T16.20.27.584,5.740,0.147,0.588,-0.304,0.735
1662322827594,2022-09-04T16.20.27.594,5.750,0.148,0.588,-0.304,0.735
1662322827604,2022-09-04T16.20.27.604,5.760,0.148,0.589,-0.305,0.734
1662322827614,2022-09-04T16.20.27.614,5.770,0.149,0.589,-0.305,0.734
1662322827624,2022-09-04T16.20.27.624,5.780,0.150,0.589,-0.304,0.734
1662322827634,2022-09-04T16.20.27.634,5.790,0.151,0.588,-0.303,0.734
1662322827644,2022-09-04T16.20.27.644,5.800,0.152,0.588,-0.301,0.735
1662322827654,2022-09-04T16.20.27.654,5.810,0.153,0.588,-0.300,0.735
1662322827664,2022-09-04T16.20.27.664,5.820,0.154,0.589,-0.299,0.735
1662322827674,2022-09-04T16.20.27.674,5.830,0.156,0.588,-0.300,0.735
1662322827684,2022-09-04T16.20.27.684,5.840,0.157,0.588,-0.299,0.735
1662322827694,2022-09-04T16.20.27.694,5.850,0.158,0.589,-0.299,0.734
1662322827704,2022-09-04T16.20.27.704,5.860,0.159,0.589,-0.299,0.734
1662322827714,2022-09-04T16.20.27.714,5.870,0.159,0.590,-0.298,0.734
1662322827724,2022-09-04T16.20.27.724,5.880,0.160,0.590,-0.298,0.733
1662322827734,2022-09-04T16.20.27.734,5.890,0.160,0.591,-0.297,0.732
1662322827744,2022-09-04T16.20.27.744,5.900,0.161,0.592,-0.297,0.732
1662322827754,2022-09-04T16.20.27.754,5.910,0.161,0.593,-0.296,0.731
1662322827764,2022-09-04T16.20.27.764,5.920,0.162,0.593,-0.295,0.731
1662322827774,2022-09-04T16.20.27.774,5.930,0.162,0.594,-0.296,0.730
1662322827784,2022-09-04T16.20.27.784,5.940,0.162,0.596,-0.296,0.729
1662322827794,2022-09-04T16.20.27.794,5.950,0.162,0.597,-0.296,0.728
1662322827804,2022-09-04T16.20.27.804,5.960,0.162,0.597,-0.295,0.728
1662322827814,2022-09-04T16.20.27.814,5.970,0.163,0.597,-0.294,0.729
1662322827824,2022-09-04T16.20.27.824,5.980,0.163,0.596,-0.293,0.729
1662322827834,2022-09-04T16.20.27.834,5.990,0.166,0.595,-0.294,0.729
1662322827844,2022-09-04T16.20.27.844,6.000,0.167,0.595,-0.292,0.730
1662322827854,2022-09-04T16.20.27.854,6.010,0.167,0.596,-0.292,0.729
1662322827864,2022-09-04T16.20.27.864,6.020,0.166,0.596,-0.294,0.728
1662322827874,2022-09-04T16.20.27.874,6.030,0.166,0.598,-0.293,0.727
1662322827884,2022-09-04T16.20.27.884,6.040,0.166,0.599,-0.294,0.726
1662322827894,2022-09-04T16.20.27.894,6.050,0.166,0.599,-0.295,0.725
1662322827904,2022-09-04T16.20.27.904,6.060,0.166,0.600,-0.296,0.724
1662322827914,2022-09-04T16.20.27.914,6.070,0.166,0.602,-0.298,0.722
1662322827924,2022-09-04T16.20.27.924,6.080,0.166,0.603,-0.297,0.722
1662322827934,2022-09-04T16.20.27.934,6.090,0.166,0.602,-0.297,0.722
1662322827944,2022-09-04T16.20.27.944,6.100,0.166,0.603,-0.297,0.721
1662322827954,2022-09-04T16.20.27.954,6.110,0.165,0.604,-0.296,0.721
1662322827964,2022-09-04T16.20.27.964,6.120,0.164,0.604,-0.296,0.721
1662322827974,2022-09-04T16.20.27.974,6.130,0.162,0.606,-0.295,0.721
1662322827984,2022-09-04T16.20.27.984,6.140,0.161,0.606,-0.292,0.722
1662322827994,2022-09-04T16.20.27.994,6.150,0.160,0.605,-0.290,0.724
1662322828004,2022-09-04T16.20.28.004,6.160,0.159,0.606,-0.289,0.724
1662322828014,2022-09-04T16.20.28.014,6.170,0.157,0.604,-0.289,0.726
1662322828024,2022-09-04T16.20.28.024,6.180,0.156,0.603,-0.289,0.727
1662322828034,2022-09-04T16.20.28.034,6.190,0.155,0.601,-0.291,0.728
1662322828044,2022-09-04T16.20.28.044,6.200,0.154,0.599,-0.294,0.728
1662322828054,2022-09-04T16.20.28.054,6.210,0.152,0.598,-0.297,0.729
1662322828064,2022-09-04T16.20.28.064,6.220,0.149,0.596,-0.299,0.730
1662322828074,2022-09-04T16.20.28.074,6.230,0.146,0.594,-0.300,0.732
1662322828084,2022-09-04T16.20.28.084,6.240,0.140,0.592,-0.302,0.734
1662322828094,2022-09-04T16.20.28.094,6.250,0.130,0.590,-0.305,0.736
1662322828104,2022-09-04T16.20.28.104,6.260,0.118,0.586,-0.309,0.740
1662322828114,2022-09-04T16.20.28.114,6.270,0.106,0.582,-0.315,0.742
1662322828124,2022-09-04T16.20.28.124,6.280,0.094,0.577,-0.320,0.745
1662322828134,2022-09-04T16.20.28.134,6.290,0.082,0.571,-0.328,0.748
1662322828144,2022-09-04T16.20.28.144,6.300,0.068,0.561,-0.338,0.753
1662322828154,2022-09-04T16.20.28.154,6.310,0.053,0.550,-0.352,0.756
1662322828164,2022-09-04T16.20.28.164,6.320,0.038,0.538,-0.369,0.757
1662322828174,2022-09-04T16.20.28.174,6.330,0.019,0.523,-0.390,0.757
1662322828184,2022-09-04T16.20.28.184,6.340,0.003,-0.506,0.417,-0.755
1662322828194,2022-09-04T16.20.28.194,6.350,0.023,-0.488,0.450,-0.748
1662322828204,2022-09-04T16.20.28.204,6.360,0.040,-0.472,0.484,-0.736
1662322828214,2022-09-04T16.20.28.214,6.370,0.051,-0.463,0.514,-0.720
1662322828224,2022-09-04T16.20.28.224,6.380,0.055,-0.459,0.539,-0.704
1662322828234,2022-09-04T16.20.28.234,6.390,0.054,-0.457,0.563,-0.687
1662322828244,2022-09-04T16.20.28.244,6.400,0.055,-0.457,0.583,-0.670
1662322828254,2022-09-04T16.20.28.254,6.410,0.065,-0.459,0.585,-0.666
1662322828264,2022-09-04T16.20.28.264,6.420,0.063,-0.459,0.560,-0.687
1662322828274,2022-09-04T16.20.28.274,6.430,0.064,-0.451,0.535,-0.712
1662322828284,2022-09-04T16.20.28.284,6.440,0.077,-0.441,0.514,-0.732
1662322828294,2022-09-04T16.20.28.294,6.450,0.087,-0.427,0.498,-0.750
1662322828304,2022-09-04T16.20.28.304,6.460,0.101,-0.410,0.491,-0.762
1662322828314,2022-09-04T16.20.28.314,6.470,0.118,-0.394,0.492,-0.767
1662322828324,2022-09-04T16.20.28.324,6.480,0.138,-0.375,0.498,-0.769
1662322828334,2022-09-04T16.20.28.334,6.490,0.159,-0.357,0.503,-0.771
1662322828344,2022-09-04T16.20.28.344,6.500,0.182,-0.342,0.507,-0.770
1662322828354,2022-09-04T16.20.28.354,6.510,0.203,-0.329,0.513,-0.767
1662322828364,2022-09-04T16.20.28.364,6.520,0.227,-0.314,0.520,-0.761
1662322828374,2022-09-04T16.20.28.374,6.530,0.255,-0.297,0.529,-0.753
1662322828384,2022-09-04T16.20.28.384,6.540,0.283,-0.280,0.536,-0.744
1662322828394,2022-09-04T16.20.28.394,6.550,0.309,-0.264,0.541,-0.736
1662322828404,2022-09-04T16.20.28.404,6.560,0.335,-0.249,0.543,-0.729
1662322828414,2022-09-04T16.20.28.414,6.570,0.360,-0.235,0.544,-0.720
1662322828424,2022-09-04T16.20.28.424,6.580,0.385,-0.219,0.547,-0.710
1662322828434,2022-09-04T16.20.28.434,6.590,0.410,-0.201,0.551,-0.699
1662322828444,2022-09-04T16.20.28.444,6.600,0.433,-0.182,0.556,-0.686
1662322828454,2022-09-04T16.20.28.454,6.610,0.455,-0.163,0.561,-0.672
1662322828464,2022-09-04T16.20.28.464,6.620,0.474,-0.142,0.568,-0.658
1662322828474,2022-09-04T16.20.28.474,6.630,0.490,-0.121,0.576,-0.643
1662322828484,2022-09-04T16.20.28.484,6.640,0.507,-0.096,0.586,-0.625
1662322828494,2022-09-04T16.20.28.494,6.650,0.523,-0.067,0.597,-0.605
1662322828504,2022-09-04T16.20.28.504,6.660,0.539,-0.038,0.608,-0.581
1662322828514,2022-09-04T16.20.28.514,6.670,0.558,-0.008,0.617,-0.555
1662322828524,2022-09-04T16.20.28.524,6.680,0.577,0.019,0.622,-0.530
1662322828534,2022-09-04T16.20.28.534,6.690,0.592,0.040,0.624,-0.508
1662322828544,2022-09-04T16.20.28.544,6.700,0.605,0.057,0.626,-0.489
1662322828554,2022-09-04T16.20.28.554,6.710,0.616,0.071,0.625,-0.474
1662322828564,2022-09-04T16.20.28.564,6.720,0.626,0.084,0.624,-0.460
1662322828574,2022-09-04T16.20.28.574,6.730,0.633,0.096,0.624,-0.448
1662322828584,2022-09-04T16.20.28.584,6.740,0.639,0.106,0.624,-0.437
1662322828594,2022-09-04T16.20.28.594,6.750,0.644,0.114,0.624,-0.428
1662322828604,2022-09-04T16.20.28.604,6.760,0.648,0.121,0.625,-0.419
1662322828614,2022-09-04T16.20.28.614,6.770,0.652,0.128,0.626,-0.409
1662322828624,2022-09-04T16.20.28.624,6.780,0.656,0.135,0.628,-0.397
1662322828634,2022-09-04T16.20.28.634,6.790,0.660,0.144,0.630,-0.382
1662322828644,2022-09-04T16.20.28.644,6.800,0.664,0.154,0.633,-0.367
1662322828654,2022-09-04T16.20.28.654,6.810,0.669,0.166,0.632,-0.354
1662322828664,2022-09-04T16.20.28.664,6.820,0.673,0.175,0.630,-0.346
1662322828674,2022-09-04T16.20.28.674,6.830,0.678,0.183,0.625,-0.340
1662322828684,2022-09-04T16.20.28.684,6.840,0.682,0.190,0.620,-0.337
1662322828694,2022-09-04T16.20.28.694,6.850,0.687,0.194,0.616,-0.335
1662322828704,2022-09-04T16.20.28.704,6.860,0.691,0.197,0.611,-0.334
1662322828714,2022-09-04T16.20.28.714,6.870,0.694,0.198,0.607,-0.333
1662322828724,2022-09-04T16.20.28.724,6.880,0.698,0.197,0.603,-0.332
1662322828734,2022-09-04T16.20.28.734,6.890,0.701,0.196,0.600,-0.332
1662322828744,2022-09-04T16.20.28.744,6.900,0.704,0.194,0.598,-0.331
1662322828754,2022-09-04T16.20.28.754,6.910,0.701,0.196,0.601,-0.330
1662322828764,2022-09-04T16.20.28.764,6.920,0.698,0.199,0.605,-0.328
1662322828774,2022-09-04T16.20.28.774,6.930,0.695,0.201,0.609,-0.326
1662322828784,2022-09-04T16.20.28.784,6.940,0.694,0.204,0.610,-0.323
1662322828794,2022-09-04T16.20.28.794,6.950,0.694,0.207,0.610,-0.321
1662322828804,2022-09-04T16.20.28.804,6.960,0.694,0.210,0.610,-0.319
1662322828814,2022-09-04T16.20.28.814,6.970,0.694,0.213,0.610,-0.317
1662322828824,2022-09-04T16.20.28.824,6.980,0.694,0.216,0.610,-0.315
1662322828834,2022-09-04T16.20.28.834,6.990,0.694,0.217,0.610,-0.314
1662322828844,2022-09-04T16.20.28.844,7.000,0.694,0.219,0.611,-0.312
1662322828854,2022-09-04T16.20.28.854,7.010,0.695,0.221,0.610,-0.310
1662322828864,2022-09-04T16.20.28.864,7.020,0.695,0.224,0.610,-0.306
1662322828874,2022-09-04T16.20.28.874,7.030,0.696,0.227,0.610,-0.303
1662322828884,2022-09-04T16.20.28.884,7.040,0.697,0.230,0.610,-0.299
1662322828894,2022-09-04T16.20.28.894,7.050,0.696,0.232,0.611,-0.297
1662322828904,2022-09-04T16.20.28.904,7.060,0.696,0.234,0.612,-0.294
1662322828914,2022-09-04T16.20.28.914,7.070,0.697,0.235,0.612,-0.292
1662322828924,2022-09-04T16.20.28.924,7.080,0.697,0.235,0.612,-0.289
1662322828934,2022-09-04T16.20.28.934,7.090,0.698,0.236,0.612,-0.287
1662322828944,2022-09-04T16.20.28.944,7.100,0.698,0.236,0.612,-0.285
1662322828954,2022-09-04T16.20.28.954,7.110,0.699,0.235,0.612,-0.284
1662322828964,2022-09-04T16.20.28.964,7.120,0.701,0.234,0.612,-0.283
1662322828974,2022-09-04T16.20.28.974,7.130,0.701,0.234,0.611,-0.282
1662322828984,2022-09-04T16.20.28.984,7.140,0.702,0.234,0.612,-0.280
1662322828994,2022-09-04T16.20.28.994,7.150,0.702,0.235,0.612,-0.278
1662322829004,2022-09-04T16.20.29.004,7.160,0.702,0.237,0.613,-0.276
1662322829014,2022-09-04T16.20.29.014,7.170,0.702,0.238,0.613,-0.274
1662322829024,2022-09-04T16.20.29.024,7.180,0.703,0.240,0.612,-0.271
1662322829034,2022-09-04T16.20.29.034,7.190,0.699,0.235,0.617,-0.274
1662322829044,2022-09-04T16.20.29.044,7.200,0.700,0.237,0.616,-0.272
1662322829054,2022-09-04T16.20.29.054,7.210,0.701,0.238,0.616,-0.270
1662322829064,2022-09-04T16.20.29.064,7.220,0.701,0.239,0.616,-0.267
1662322829074,2022-09-04T16.20.29.074,7.230,0.701,0.240,0.617,-0.265
1662322829084,2022-09-04T16.20.29.084,7.240,0.700,0.239,0.621,-0.259
1662322829094,2022-09-04T16.20.29.094,7.250,0.699,0.241,0.623,-0.255
1662322829104,2022-09-04T16.20.29.104,7.260,0.699,0.240,0.625,-0.253
1662322829114,2022-09-04T16.20.29.114,7.270,0.698,0.241,0.627,-0.249
1662322829124,2022-09-04T16.20.29.124,7.280,0.696,0.243,0.630,-0.244
1662322829134,2022-09-04T16.20.29.134,7.290,0.695,0.245,0.633,-0.239
1662322829144,2022-09-04T16.20.29.144,7.300,0.693,0.247,0.635,-0.234
1662322829154,2022-09-04T16.20.29.154,7.310,0.692,0.249,0.637,-0.231
1662322829164,2022-09-04T16.20.29.164,7.320,0.691,0.250,0.638,-0.229
1662322829174,2022-09-04T16.20.29.174,7.330,0.691,0.250,0.639,-0.227
1662322829184,2022-09-04T16.20.29.184,7.340,0.691,0.250,0.639,-0.227
1662322829194,2022-09-04T16.20.29.194,7.350,0.691,0.250,0.639,-0.228
1662322829204,2022-09-04T16.20.29.204,7.360,0.691,0.250,0.638,-0.228
1662322829214,2022-09-04T16.20.29.214,7.370,0.692,0.249,0.638,-0.229
1662322829224,2022-09-04T16.20.29.224,7.380,0.692,0.249,0.637,-0.229
1662322829234,2022-09-04T16.20.29.234,7.390,0.692,0.249,0.638,-0.229
1662322829244,2022-09-04T16.20.29.244,7.400,0.691,0.249,0.639,-0.230
1662322829254,2022-09-04T16.20.29.254,7.410,0.690,0.249,0.639,-0.230
1662322829264,2022-09-04T16.20.29.264,7.420,0.689,0.249,0.640,-0.231
1662322829274,2022-09-04T16.20.29.274,7.430,0.688,0.249,0.641,-0.232
1662322829284,2022-09-04T16.20.29.284,7.440,0.687,0.249,0.642,-0.232
1662322829294,2022-09-04T16.20.29.294,7.450,0.686,0.249,0.643,-0.233
1662322829304,2022-09-04T16.20.29.304,7.460,0.685,0.249,0.643,-0.234
1662322829314,2022-09-04T16.20.29.314,7.470,0.684,0.250,0.644,-0.235
1662322829324,2022-09-04T16.20.29.324,7.480,0.683,0.250,0.645,-0.235
1662322829334,2022-09-04T16.20.29.334,7.490,0.683,0.251,0.645,-0.235
1662322829344,2022-09-04T16.20.29.344,7.500,0.682,0.251,0.645,-0.235
1662322829354,2022-09-04T16.20.29.354,7.510,0.681,0.251,0.646,-0.236
1662322829364,2022-09-04T16.20.29.364,7.520,0.680,0.251,0.646,-0.238
1662322829374,2022-09-04T16.20.29.374,7.530,0.679,0.251,0.647,-0.238
1662322829384,2022-09-04T16.20.29.384,7.540,0.678,0.251,0.648,-0.239
1662322829394,2022-09-04T16.20.29.394,7.550,0.677,0.251,0.649,-0.240
1662322829404,2022-09-04T16.20.29.404,7.560,0.676,0.251,0.650,-0.240
1662322829414,2022-09-04T16.20.29.414,7.570,0.675,0.251,0.651,-0.241
1662322829424,2022-09-04T16.20.29.424,7.580,0.674,0.251,0.651,-0.242
1662322829434,2022-09-04T16.20.29.434,7.590,0.674,0.250,0.652,-0.243
1662322829444,2022-09-04T16.20.29.444,7.600,0.673,0.250,0.652,-0.243
1662322829454,2022-09-04T16.20.29.454,7.610,0.673,0.250,0.652,-0.244
1662322829464,2022-09-04T16.20.29.464,7.620,0.673,0.249,0.652,-0.244
1662322829474,2022-09-04T16.20.29.474,7.630,0.673,0.249,0.652,-0.245
1662322829484,2022-09-04T16.20.29.484,7.640,0.673,0.248,0.652,-0.245
1662322829494,2022-09-04T16.20.29.494,7.650,0.673,0.248,0.651,-0.246
1662322829504,2022-09-04T16.20.29.504,7.660,0.674,0.248,0.651,-0.246
1662322829514,2022-09-04T16.20.29.514,7.670,0.674,0.248,0.651,-0.246
1662322829524,2022-09-04T16.20.29.524,7.680,0.674,0.248,0.651,-0.247
1662322829534,2022-09-04T16.20.29.534,7.690,0.674,0.248,0.651,-0.247
1662322829544,2022-09-04T16.20.29.544,7.700,0.674,0.248,0.650,-0.247
1662322829554,2022-09-04T16.20.29.554,7.710,0.674,0.248,0.650,-0.247
1662322829564,2022-09-04T16.20.29.564,7.720,0.674,0.248,0.650,-0.247
1662322829574,2022-09-04T16.20.29.574,7.730,0.674,0.248,0.651,-0.247
1662322829584,2022-09-04T16.20.29.584,7.740,0.674,0.248,0.651,-0.248
1662322829594,2022-09-04T16.20.29.594,7.750,0.674,0.248,0.650,-0.248
1662322829604,2022-09-04T16.20.29.604,7.760,0.674,0.247,0.650,-0.248
1662322829614,2022-09-04T16.20.29.614,7.770,0.674,0.247,0.650,-0.249
1662322829624,2022-09-04T16.20.29.624,7.780,0.674,0.247,0.650,-0.249
1662322829634,2022-09-04T16.20.29.634,7.790,0.674,0.246,0.650,-0.249
1662322829644,2022-09-04T16.20.29.644,7.800,0.674,0.246,0.650,-0.250
1662322829654,2022-09-04T16.20.29.654,7.810,0.675,0.242,0.652,-0.246
1662322829664,2022-09-04T16.20.29.664,7.820,0.675,0.241,0.653,-0.246
1662322829674,2022-09-04T16.20.29.674,7.830,0.674,0.241,0.653,-0.246
1662322829684,2022-09-04T16.20.29.684,7.840,0.674,0.241,0.653,-0.246
1662322829694,2022-09-04T16.20.29.694,7.850,0.675,0.237,0.655,-0.242
1662322829704,2022-09-04T16.20.29.704,7.860,0.676,0.237,0.655,-0.242
1662322829714,2022-09-04T16.20.29.714,7.870,0.676,0.237,0.654,-0.242
1662322829724,2022-09-04T16.20.29.724,7.880,0.676,0.237,0.654,-0.243
1662322829734,2022-09-04T16.20.29.734,7.890,0.677,0.235,0.655,-0.240
1662322829744,2022-09-04T16.20.29.744,7.900,0.677,0.235,0.655,-0.240
1662322829754,2022-09-04T16.20.29.754,7.910,0.677,0.235,0.655,-0.240
1662322829764,2022-09-04T16.20.29.764,7.920,0.677,0.235,0.655,-0.240
1662322829774,2022-09-04T16.20.29.774,7.930,0.678,0.233,0.656,-0.238
1662322829784,2022-09-04T16.20.29.784,7.940,0.678,0.233,0.656,-0.238
1662322829794,2022-09-04T16.20.29.794,7.950,0.678,0.233,0.656,-0.238
1662322829804,2022-09-04T16.20.29.804,7.960,0.678,0.233,0.656,-0.238
1662322829814,2022-09-04T16.20.29.814,7.970,0.678,0.231,0.656,-0.237
1662322829824,2022-09-04T16.20.29.824,7.980,0.678,0.231,0.656,-0.237
1662322829834,2022-09-04T16.20.29.834,7.990,0.679,0.231,0.656,-0.237
1662322829844,2022-09-04T16.20.29.844,8.000,0.679,0.231,0.656,-0.237